date,country,value
2016-10-01,Chinese Taipei,25129.6320265389
2016-11-01,Chinese Taipei,24691.886773141498
2016-12-01,Chinese Taipei,24802.5139375129
2017-01-01,Chinese Taipei,24261.368724262004
2017-02-01,Chinese Taipei,27444.012525167796
2017-03-01,Chinese Taipei,24821.43675349
2017-04-01,Chinese Taipei,25408.270032612203
2017-05-01,Chinese Taipei,25084.2530995407
2017-06-01,Chinese Taipei,25886.519068999398
2017-07-01,Chinese Taipei,26683.9445145787
2017-08-01,Chinese Taipei,26896.208143353102
2017-09-01,Chinese Taipei,28071.705703917403
2017-10-01,Chinese Taipei,25894.526794181602
2017-11-01,Chinese Taipei,28150.180701281402
2017-12-01,Chinese Taipei,28450.0388785487
2018-01-01,Chinese Taipei,27948.0234386668
2018-02-01,Chinese Taipei,27137.9768548124
2018-03-01,Chinese Taipei,29118.065216027004
2018-04-01,Chinese Taipei,28112.9431885706
2018-05-01,Chinese Taipei,28689.1119880162
2018-06-01,Chinese Taipei,28225.527798721698
2018-07-01,Chinese Taipei,27946.381560282596
2018-08-01,Chinese Taipei,27460.713685129198
2018-09-01,Chinese Taipei,28732.483285192797
2018-10-01,Chinese Taipei,27923.7753420177
2018-11-01,Chinese Taipei,27133.5290540434
2018-12-01,Chinese Taipei,27361.344962867202
2019-01-01,Chinese Taipei,27957.779713737098
2019-02-01,Chinese Taipei,25164.8884391571
2019-03-01,Chinese Taipei,27718.5224511995
2019-04-01,Chinese Taipei,27386.1796652183
2019-05-01,Chinese Taipei,27017.926104475202
2019-06-01,Chinese Taipei,28444.1602024189
2019-07-01,Chinese Taipei,27730.8668640202
2019-08-01,Chinese Taipei,27952.011308245
2019-09-01,Chinese Taipei,27321.5203592649
2019-10-01,Chinese Taipei,27587.0823280361
2019-11-01,Chinese Taipei,27919.942409372798
2019-12-01,Chinese Taipei,28407.3181551968
2020-01-01,Chinese Taipei,25696.1643384997
2020-02-01,Chinese Taipei,30011.473624859304
2020-03-01,Chinese Taipei,27317.311083595698
2020-04-01,Chinese Taipei,27010.6380631232
2006-01-01,Thailand,10421.8741103065
2006-02-01,Thailand,10398.3358430592
2006-03-01,Thailand,10825.5977539965
2006-04-01,Thailand,10559.6763020326
2006-05-01,Thailand,10581.899218131
2006-06-01,Thailand,10421.4050493737
2006-07-01,Thailand,10703.534183245
2006-08-01,Thailand,10837.3840873232
2006-09-01,Thailand,10826.0135726422
2006-10-01,Thailand,10578.604031689101
2006-11-01,Thailand,11689.1583775656
2006-12-01,Thailand,11886.042291908101
2007-01-01,Thailand,12014.8391067828
2007-02-01,Thailand,12047.602681196102
2007-03-01,Thailand,12659.895328628201
2007-04-01,Thailand,12239.4727281756
2007-05-01,Thailand,12506.2635104
2007-06-01,Thailand,12286.547056539199
2007-07-01,Thailand,11592.2952533448
2007-08-01,Thailand,13142.3402482496
2007-09-01,Thailand,12329.749988503501
2007-10-01,Thailand,13982.550881208601
2007-11-01,Thailand,14816.2901598548
2007-12-01,Thailand,14289.5093495971
2008-01-01,Thailand,15837.435932971699
2008-02-01,Thailand,14029.8921164208
2008-03-01,Thailand,14733.1136113298
2008-04-01,Thailand,15515.656502438998
2008-05-01,Thailand,15622.417693726102
2008-06-01,Thailand,16110.6532968017
2008-07-01,Thailand,17006.3595828779
2008-08-01,Thailand,15427.0868091018
2008-09-01,Thailand,15048.669132570902
2008-10-01,Thailand,14439.806161691899
2008-11-01,Thailand,11822.3224229755
2008-12-01,Thailand,12296.391110678202
2009-01-01,Thailand,12083.0568798246
2009-02-01,Thailand,12395.293139678
2009-03-01,Thailand,11118.1511661208
2009-04-01,Thailand,11879.043337135101
2009-05-01,Thailand,11336.8136886359
2009-06-01,Thailand,11728.375755411598
2009-07-01,Thailand,12572.2633094258
2009-08-01,Thailand,12526.48513931
2009-09-01,Thailand,13651.2718598624
2009-10-01,Thailand,14065.7507534637
2009-11-01,Thailand,13903.963024676299
2009-12-01,Thailand,15353.039780257099
2010-01-01,Thailand,15074.7034411095
2010-02-01,Thailand,14812.023486991699
2010-03-01,Thailand,15518.0493372631
2010-04-01,Thailand,15462.3725340785
2010-05-01,Thailand,16079.8594002435
2010-06-01,Thailand,17342.2885723582
2010-07-01,Thailand,15140.9665002673
2010-08-01,Thailand,15615.7874101702
2010-09-01,Thailand,16773.0755928433
2010-10-01,Thailand,16295.3276135525
2010-11-01,Thailand,17673.616021404097
2010-12-01,Thailand,17709.5540872411
2011-01-01,Thailand,17668.8966547355
2011-02-01,Thailand,18946.1919462165
2011-03-01,Thailand,20003.088484139
2011-04-01,Thailand,18818.4808227316
